yī;一;one;hsk1
bù;不;no;hsk1
le;了;did;hsk1
rén;人;person;hsk1
dà;大;big;hsk1
chū;出;to exit;hsk1
yě;也;also;hsk1
zǐ;子;child;hsk1
yòng;用;to utilize;hsk1
xíng;行;OK;hsk1
rì;日;day;hsk1
shí;十;ten;hsk1
gōng;工;work;hsk1
shǒu;手;hand;hsk1
wén;文;literature;hsk1
èr;二;two;hsk1
xī;西;west;hsk1
yuè;月;month;hsk1
mén;门;entrance;hsk1
ér;儿;son;hsk1
jǐ;几;several;hsk1
kǒu;口;mouth;hsk1
nǚ;女;woman;hsk1
shān;山;mountain;hsk1
mǎ;马;horse;hsk1
wǔ;五;five;hsk1
shū;书;book;hsk1
fēi;非;non-;hsk1
fēi;飞;to fly;hsk1
gān;干;dry;hsk1
chē;车;car;hsk1
huǒ;火;fire;hsk1
jiǔ;九;nine;hsk1
bā;八;eight;hsk1
qī;七;seven;hsk1
mǐ;米;rice;hsk1
máo;毛;fur;hsk1
xí;习;to learn;hsk1
péng;朋;companion;hsk1
yǔ;雨;rain;hsk1
wǔ;午;noon;hsk1
tā;他;he;hsk1
zhè;这;this;hsk1
gè;个;individual;hsk1
men;们;plural;hsk1
lái;来;to come;hsk1
hé;和;harmony;hsk1
shí;时;time;hsk1
yào;要;to want;hsk1
duì;对;correct;hsk1
guò;过;to pass;hsk1
zuò;作;to do;hsk1
me;么;muh;hsk1
kàn;看;to look at;hsk1
fēn;分;part;hsk1
huán;还;to return;hsk1
jìn;进;to advance;hsk1
hǎo;好;good;hsk1
tā;她;she;hsk1
běn;本;notebook;hsk1
kāi;开;to open;hsk1
cóng;从;to follow;hsk1
jī;机;machine;hsk1
míng;明;bright;hsk1
sān;三;three;hsk1
jiān;间;interval;hsk1
wèn;问;to ask;hsk1
shén;什;what;hsk1
guǒ;果;fruit;hsk1
huí;回;to return;hsk1
bǐ;比;to compare;hsk1
shuǐ;水;water;hsk1
rèn;认;to recognize;hsk1
tiáo;条;strip;hsk1
dǎ;打;to strike;hsk1
sì;四;four;hsk1
diàn;电;electricity;hsk1
tài;太;excessively;hsk1
zài;再;again;hsk1
tīng;听;to listen;hsk1
nán;难;difficult;hsk1
jì;记;to remember;hsk1
běi;北;north;hsk1
biān;边;border;hsk1
zhǔn;准;standard;hsk1
zěn;怎;how;hsk1
jiào;叫;to call;hsk1
bèi;备;to prepare;hsk1
xiě;写;to write;hsk1
ma;吗;question;hsk1
bā;吧;bar;hsk1
liù;六;six;hsk1
hào;号;number;hsk1
xìng;兴;excitement;hsk1
hái;孩;child;hsk1
yǒu;友;friend;hsk1
nán;男;male;hsk1
wǎng;网;net;hsk1
shéi;谁;who;hsk1
hàn;汉;Han;hsk1
yī;衣;clothing;hsk1
mā;妈;mama;hsk1
yòu;右;right;hsk1
yé;爷;grandfather;hsk1
bà;爸;papa;hsk1
xiū;休;to rest;hsk1
chàng;唱;to sing;hsk1
nǎi;奶;milk;hsk1
jī;鸡;chicken;hsk1
bēi;杯;cup;hsk1
zuó;昨;yesterday;hsk1
yǒu;有;to possess;hsk1
zhōng;中;middle;hsk1
shàng;上;above;hsk1
shēng;生;life;hsk1
nà;那;that;hsk1
zhe;着;to continue;hsk1
xià;下;below;hsk1
hòu;后;behind;hsk1
shì;事;matter;hsk1
fāng;方;direction;hsk1
duō;多;many;hsk1
tiān;天;heaven;hsk1
xiǎo;小;small;hsk1
yàng;样;appearance;hsk1
xiǎng;想;to think;hsk1
zhèng;正;correct;hsk1
wài;外;outside;hsk1
hěn;很;very;hsk1
zuì;最;most;hsk1
tǐ;体;body;hsk1
jiàn;见;to see;hsk1
míng;名;name;hsk1
bié;别;don't;hsk1
bái;白;white;hsk1
