hanzi,pinyin,meaning,distractor_1,distractor_2,distractor_3,distractor_4,distractor_5,distractor_6,distractor_7,distractor_8,distractor_9,level
一,yī,one,二,三,兰,亡,工,童,上,干,曰,HSK1
不,bù,no,才,术,否,补,查,宋,杯,下,尘,HSK1
了,le,did,子,仔,疗,亨,字,丁,刁,尤,才,HSK1
人,rén,person,入,介,八,从,久,大,欠,认,众,HSK1
大,dà,big,犬,矢,失,太,夫,天,庆,关,央,HSK1
出,chū,to exit,山,击,世,止,吐,叶,臣,岳,正,HSK1
也,yě,also,他,地,七,匕,把,抱,包,孔,扎,HSK1
子,zǐ,child,字,毕,亨,宁,仔,丁,宇,奇,号,HSK1
用,yòng,to utilize,明,开,届,肝,胆,声,再,月,阻,HSK1
行,xíng,OK,何,付,订,仔,闭,钉,侍,待,讨,HSK1
日,rì,day,旧,白,旦,百,吉,曰,且,目,巨,HSK1
十,shí,ten,土,士,干,丰,叶,早,工,牛,上,HSK1
工,gōng,work,干,正,王,上,玉,土,士,早,曰,HSK1
手,shǒu,hand,千,币,乎,丢,舌,宇,书,任,乓,HSK1
文,wén,literature,又,叉,丈,支,艾,反,仅,义,仗,HSK1
二,èr,two,三,一,曰,工,兰,国,口,回,匪,HSK1
西,xī,west,因,百,岩,音,四,早,智,酋,亩,HSK1
月,yuè,month,户,片,丹,局,声,民,芦,肩,启,HSK1
门,mén,entrance,订,问,宁,汇,忙,让,闭,京,亨,HSK1
儿,ér,son,几,九,凡,冗,刀,仇,力,乃,尤,HSK1
几,jǐ,several,凡,冗,九,儿,刀,万,力,乃,兄,HSK1
口,kǒu,mouth,曰,回,吕,旦,日,旧,巨,凹,呈,HSK1
女,nǚ,woman,友,丈,支,妆,皮,仗,艾,攻,安,HSK1
山,shān,mountain,止,出,正,上,吐,占,士,叶,卓,HSK1
马,mǎ,horse,吗,丐,乌,与,写,引,号,骨,向,HSK1
五,wǔ,five,丑,虫,宙,击,非,宝,辛,羊,距,HSK1
书,shū,book,寺,市,辛,牛,在,车,卡,壮,拄,HSK1
非,fēi,non-,菲,昔,宜,咱,吾,首,拒,宙,距,HSK1
飞,fēi,to fly,兆,凤,咸,方,秃,或,凡,成,代,HSK1
干,gān,dry,工,王,玉,早,十,土,正,亩,臣,HSK1
车,chē,car,牢,军,辛,至,空,宝,罕,在,轩,HSK1
火,huǒ,fire,伙,欠,灭,次,众,认,久,炊,介,HSK1
九,jiǔ,nine,力,凡,几,尤,丸,儿,冗,仇,刀,HSK1
八,bā,eight,入,人,叭,从,扒,爪,介,久,又,HSK1
七,qī,seven,匕,宅,孔,北,扎,也,托,此,比,HSK1
米,mǐ,rice,朱,宋,术,来,未,末,休,床,奈,HSK1
毛,máo,fur,宅,托,七,笔,氏,脊,抡,爸,纸,HSK1
习,xí,to learn,刁,匀,订,斗,污,巧,尼,叼,亨,HSK1
朋,péng,companion,肪,鹿,朗,崩,服,期,钥,脏,厉,HSK1
雨,yǔ,rain,南,堂,国,平,菲,匪,晋,围,晴,HSK1
午,wǔ,noon,牛,年,生,半,右,牢,告,开,石,HSK1
他,tā,he,地,抱,创,扰,拖,弛,袍,池,扼,HSK1
这,zhè,this,迭,达,送,葵,逻,安,妆,委,途,HSK1
个,gè,individual,介,今,企,令,价,之,命,芥,禾,HSK1
们,men,plural,行,何,闭,门,怀,忙,付,示,栏,HSK1
来,lái,to come,宋,朱,末,束,未,茉,柬,荣,果,HSK1
和,hé,harmony,租,棺,程,柄,枢,相,秤,柜,杆,HSK1
时,shí,time,吁,节,苛,市,钻,拓,即,布,寺,HSK1
要,yào,to want,妻,宴,姜,妄,更,巢,最,坚,嘎,HSK1
对,duì,correct,劝,艰,刘,好,劫,拼,钥,寂,叔,HSK1
过,guò,to pass,迎,连,退,违,适,还,进,运,辽,HSK1
作,zuò,to do,佑,乍,炸,住,诈,伴,恰,件,佯,HSK1
么,me,muh,公,讼,冷,令,必,少,玄,矛,永,HSK1
看,kàn,to look at,着,春,眷,香,督,省,暮,售,奢,HSK1
分,fēn,part,份,芬,吩,尖,方,允,盼,乃,朵,HSK1
还,huán,to return,述,迎,连,过,退,运,迷,沫,洽,HSK1
进,jìn,to advance,连,违,送,迭,过,速,逝,适,逮,HSK1
好,hǎo,good,始,姊,奸,妆,娘,妒,对,婚,按,HSK1
她,tā,she,施,姥,拖,娥,抛,姚,哦,驰,挑,HSK1
本,běn,notebook,末,宋,未,才,木,朱,来,术,束,HSK1
开,kāi,to open,庄,牛,生,尹,年,井,午,丰,肝,HSK1
从,cóng,to follow,众,认,欠,火,扒,欣,久,队,仅,HSK1
机,jī,machine,杭,枕,巩,仇,讥,饥,祝,优,忧,HSK1
明,míng,bright,胡,朗,眼,胆,用,昭,姐,肝,朝,HSK1
三,sān,three,二,兰,匪,国,司,工,豆,曰,上,HSK1
间,jiān,interval,问,司,可,恒,同,呵,凹,喧,语,HSK1
问,wèn,to ask,间,可,呵,司,同,即,恒,尚,语,HSK1
什,shén,what,仲,住,伸,任,伴,估,在,计,壮,HSK1
果,guǒ,fruit,柬,束,栗,呆,茉,来,某,架,桌,HSK1
回,huí,to return,曰,吕,巨,凹,固,口,旦,画,呈,HSK1
比,bǐ,to compare,北,此,孔,订,扎,记,花,礼,屁,HSK1
水,shuǐ,water,衣,永,依,外,芬,冰,伏,求,尖,HSK1
认,rèn,to recognize,水,伙,伏,火,从,队,价,冰,介,HSK1
条,tiáo,strip,祭,茶,贫,拎,绘,途,惫,设,徐,HSK1
打,dǎ,to strike,拧,寸,钉,守,时,宇,毕,宁,扑,HSK1
四,sì,four,匹,西,囚,因,团,石,匠,叮,巫,HSK1
电,diàn,electricity,屯,拍,芭,市,民,韦,再,尹,串,HSK1
太,tài,excessively,大,犬,失,矢,夫,仗,友,央,夭,HSK1
再,zài,again,丰,甫,宙,串,审,羊,申,市,革,HSK1
听,tīng,to listen,旷,矿,斤,研,垢,析,哈,折,俱,HSK1
难,nán,difficult,雏,雅,准,谁,稚,维,推,祥,粹,HSK1
记,jì,to remember,订,祀,讨,钉,范,巧,京,纪,毕,HSK1
北,běi,north,比,此,孔,扎,花,轧,批,订,礼,HSK1
边,biān,border,迈,办,选,近,达,劝,功,远,访,HSK1
准,zhǔn,standard,淮,谁,惟,难,洋,祥,维,潜,渔,HSK1
怎,zěn,how,忘,杂,录,射,怠,悲,宏,茅,有,HSK1
叫,jiào,to call,坦,凸,叶,吓,问,吁,距,间,芒,HSK1
备,bèi,to prepare,各,客,谷,爷,葵,奋,绎,雀,轰,HSK1
写,xiě,to write,与,号,亭,乌,鸟,骂,马,享,高,HSK1
吗,ma,question,码,马,呜,鸣,哨,蚂,啃,乌,呀,HSK1
吧,bā,bar,肥,巴,吨,把,盹,芭,叮,靶,吁,HSK1
六,liù,six,兴,立,穴,位,业,哀,示,烂,订,HSK1
号,hào,number,亏,弓,乌,丐,与,享,亨,亭,宁,HSK1
兴,xìng,excitement,六,亦,穴,示,位,东,吵,米,尖,HSK1
孩,hái,child,拨,援,段,姿,教,婆,敦,毅,该,HSK1
友,yǒu,friend,皮,肢,支,攻,仗,艾,技,故,叹,HSK1
男,nán,male,另,晃,哭,界,吴,宪,果,弟,旁,HSK1
网,wǎng,net,两,钢,躯,刚,祸,阀,抠,驱,枢,HSK1
谁,shéi,who,准,祥,详,禅,惟,诺,课,堆,渔,HSK1
汉,hàn,Han,议,纹,仪,没,父,牧,义,波,攻,HSK1
衣,yī,clothing,农,依,水,茶,伏,芬,芥,长,余,HSK1
妈,mā,mama,媳,姆,嫦,蚂,婿,冯,玛,猜,好,HSK1
右,yòu,right,石,岩,告,吞,在,伯,但,若,店,HSK1
爷,yé,grandfather,备,谷,衷,爸,译,斧,条,各,泽,HSK1
爸,bà,papa,爷,斧,我,脊,龟,绝,抡,备,好,HSK1
休,xiū,to rest,体,保,术,木,林,床,伏,朱,宋,HSK1
唱,chàng,to sing,喧,罩,皇,曹,国,罪,晶,晴,画,HSK1
奶,nǎi,milk,妨,扔,劝,办,旅,狼,狗,妒,妈,HSK1
鸡,jī,chicken,鸦,魂,观,挎,骑,船,鸽,捣,舵,HSK1
